intent,text
change_address,Address correction request
gift_wrap,Do you offer gift wrap?
gift_wrap,Add gift wrapping to order
gift_wrap,Gift message options
gift_wrap,Gift wrapping cost
invoice_request,Request copy of my invoice
invoice_request,Send invoice to email
invoice_request,B2B invoice request
invoice_download,Download invoice PDF
defective_item,Received defective item
defective_item,Product not working on arrival
defective_item,Defect claim process
defective_item,Replace defective product
out_of_stock,Notify me when back in stock
out_of_stock,Item currently unavailable
out_of_stock,Preorder or restock date
back_in_stock,Back in stock alerts
back_in_stock,Email when available
preorder,How to preorder this item
preorder,Preorder delivery date
repair,Item repair service
repair,Repair center locations
repair,How to send item for repair
manual_request,User manual for product
manual_request,Download product manual
warranty_claim,Start warranty claim
warranty_claim,Warranty claim status
membership_benefits,What are membership benefits
membership_benefits,Join premium membership
membership_benefits,Membership discounts
loyalty_points,How to earn points
loyalty_points,Check my points balance
loyalty_points,Redeem loyalty points
referral,Refer a friend program
referral,Referral bonus details
corporate_sales,Corporate or bulk sales
corporate_sales,Request corporate pricing
bulk_order,Bulk order discount
bulk_order,How to place a bulk order
wholesale,Wholesale partnership inquiry
size_chart,Show me the size chart
fabric_info,What material is this made of?
fabric_info,Fabric composition details
care_instructions,How to wash this product
care_instructions,Care labels explanation
international_shipping,Do you ship internationally?
international_shipping,Customs and duties info
international_shipping,International shipping costs
customs,Who pays customs charges?
customs,Customs clearance process
tax_charge,Why was tax charged?
tax_charge,Tax invoice request
invoice_correction,Correct my invoice details
replace_item,Replace item with new one
track_return,Track my return shipment
track_return,Return tracking number
cancel_refund,Cancel refund request
partial_refund,Partial refund issued
change_order,Modify my order after checkout
change_order,Add item to existing order
change_order,Remove item from order
add_item,Add a product to my order
remove_item,Remove a product from my order
gift_card,Do you have gift cards?
gift_card,Check gift card balance
gift_card,Buy a gift card
balance_check,Check my account balance
cashback,How to get cashback
cashback,Cashback processing time
subscription_pause,Pause my recurring order
subscription_resume,Resume my paused subscription
plan_change,Change my subscription plan
trial_extension,Extend free trial
discount_policy,Explain discount policy
student_discount,Student discount eligibility
military_discount,Military discount availability
senior_discount,Senior citizen discount
birthday_offer,Birthday discount codes
newsletter_subscribe,Subscribe to newsletter
newsletter_unsubscribe,Unsubscribe from emails
app_download,Where to download the app?
app_download,App store link
app_login_issue,App login not working
app_login_issue,Unable to sign in to app
two_factor,Enable two factor authentication
two_factor,Two factor login problem
account_verification,How to verify my account
identity_proof,Upload identity documents
KYC,Complete KYC process
delete_account,How to delete my account
delete_account,Request account deletion
deactivate_account,Temporarily deactivate account
reactivate_account,Reactivate my account
privacy_settings,Change privacy settings
data_request,Request a copy of my data
data_deletion,Request data deletion
cookie_policy,Cookie settings
accessibility,Accessibility options available
store_locator,Find nearest store location
appointment_booking,Book an appointment at store
demo_request,Request product demo
partnership,Business partnership inquiry
careers,Open job positions
press_inquiry,Media and press contact
investor_relations,Investor relations contact
ssl_issue,Website security issue
api_access,Request API access
webhook_setup,Help with webhook setup
sdk_support,SDK integration questions
developer_docs,Where are developer docs
rate_limit,API rate limits
uptime,Server uptime info
sla,Service level agreement details
beta_program,Join beta program
early_access,Early access sign up
feature_request,Request new feature
test_feature,How to test new feature
bug_report,Report a bug in the app
refund_policy,Explain refund policy
shipping_charges,How much is shipping
shipping_options,Available shipping options
same_day_delivery,Do you offer same day delivery?
next_day_delivery,Next day delivery availability
weekend_delivery,Deliver on weekends?
pick_up_store,Pick up order in store
curbside_pickup,Curbside pickup available
secure_payment,Is payment secure?
payment_methods,What payment methods do you accept?
payment_methods,paytm payment option
payment_methods,gpay payment option
payment_methods,phonepe payment option
payment_methods,netbanking payment option
credit_card,Use credit card for payment
debit_card,Use debit card for payment
emi_options,EMI available for orders
emi_options,Choose installment plan
installment_plans,Split payment options
order_confirmation,Order confirmation email not received
otp_not_received,OTP not received on phone
verification_code,Verification code not working
mobile_change,Change mobile number on account
email_change,Update email address
update_profile,How to update my profile
address_update,Update saved addresses
save_for_later,Save item for later
wishlist,Add item to wishlist
compare_products,Compare two products
product_specs,Product specifications details
dimensions,Product dimensions info
weight,Product weight details
battery_life,Battery life specifications
screen_size,Screen size options
compatibility,Which devices is this compatible with
software_update,How to update software
firmware,Firmware update instructions
driver_download,Download drivers for product
serial_number_lookup,Find product serial number
authenticity,Verify product authenticity
counterfeit,Report counterfeit product
sustainability,Are products eco friendly?
eco_friendly,Is packaging recyclable?
recyclable_packaging,Packaging recycling info
carbon_footprint,Carbon footprint of product
carbon_offset,Do you offer carbon offset?
donate,Donate through the platform
charity,Charity partnerships info
corporate_gifting,Corporate gifting options
customization,Product customization options
monogram,Add monogram to product
engraving,Engraving options available
personalization,Personalize this item
color_custom,Custom color requests
material_custom,Custom material options
size_custom,Custom sizing available
wholesale_pricing,Wholesale pricing details
retailer_signup,How to become a retailer
distributor_info,Distributor partnership info
sample_request,Request samples for bulk orders
catalog_request,Request product catalog
brochure,Download product brochure
terms_business,Business terms and conditions
trade_discount,Trade discount eligibility
certificates,Safety certificates available
safety_cert,Safety certification info
compliance,Regulatory compliance info
export_info,Export documentation needed
import_info,Import regulations
bulk_shipping,Bulk shipping options
freight,Freight forwarding details
hazmat,Hazardous materials shipping info
temperature_sensitive,Temperature sensitive shipping
perishable,Perishable goods shipping
fragile_handling,Fragile handling instructions
signature_required,Signature required on delivery
no_signature,Deliver without signature
delivery_instructions,Leave at door instructions
leave_at_door,Leave package at doorstep
safe_place,Specify safe place for delivery
neighbor_delivery,Leave with neighbor option
schedule_delivery,Schedule delivery date
change_delivery_date,Change delivery date request
delay_notification,Notify me if delayed
redelivery,Request redelivery
missed_delivery,Missed delivery options
reschedule,Reschedule delivery date
customer_feedback,Provide feedback about order
survey,Fill customer satisfaction survey
net_promoter_score,Share NPS feedback
refund_processing_time,How long refunds take
refund_receipt,Receipt for refund
chargeback,Initiate a chargeback
fraudulent_charge,Report fraudulent charge
unauthorized_transaction,Unauthorized transaction support
account_hacked,My account was hacked
suspicious_activity,Report suspicious activity
report_abuse,Report abusive behavior
report_spam,Report spam messages
unsubscribe_marketing,Unsubscribe from marketing emails
privacy_concerns,Concern about privacy practices
cookie_preferences,Change cookie preferences
gdpr_request,Submit GDPR data request
ccpa_request,Submit CCPA data request
data_portability,Request data portability
data_correction,Correct my personal data
consent_withdrawal,Withdraw consent for processing
